user_id,gender,age_group,interest_categories,watch_count,cluster_id,cluster_name,x,y,动漫,学习,宠物,搞笑,游戏,生活,科技,美食,运动,音乐
1,女,31-40岁,宠物|动漫,67,3,动漫二次元型用户,-1.3252374188033218,-0.2685914922121289,0.3880597014925373,0.029850746268656716,0.417910447761194,0.029850746268656716,0.04477611940298507,0.0,0.014925373134328358,0.014925373134328358,0.029850746268656716,0.029850746268656716
2,男,25-30岁,科技|学习|宠物|搞笑,68,0,学习提升型用户,-2.3453190226005325,-0.28647339191200355,0.014705882352941176,0.38235294117647056,0.20588235294117646,0.20588235294117646,0.029411764705882353,0.0,0.14705882352941177,0.0,0.014705882352941176,0.0
3,男,18岁以下,宠物|生活,88,2,宠物治愈型用户,-0.6409629993590671,-1.7280684280054845,0.0,0.045454545454545456,0.375,0.03409090909090909,0.0,0.4659090909090909,0.03409090909090909,0.022727272727272728,0.011363636363636364,0.011363636363636364
4,女,18岁以下,美食|生活|运动|科技,76,4,生活日常型用户,1.975182337817,-2.4994168293761563,0.06578947368421052,0.013157894736842105,0.039473684210526314,0.039473684210526314,0.0,0.2631578947368421,0.19736842105263158,0.21052631578947367,0.15789473684210525,0.013157894736842105
5,女,31-40岁,学习|搞笑,71,0,学习提升型用户,-2.9704263786553837,-0.0545077922447026,0.0,0.5915492957746479,0.014084507042253521,0.352112676056338,0.0,0.0,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.0
6,女,40岁以上,科技|宠物|搞笑,76,0,学习提升型用户,-1.8815642747429153,-0.25205089639421263,0.0,0.013157894736842105,0.2894736842105263,0.3684210526315789,0.02631578947368421,0.013157894736842105,0.19736842105263158,0.039473684210526314,0.02631578947368421,0.02631578947368421
7,女,40岁以上,音乐|运动,70,7,运动健康型用户,1.9426747183131017,1.1579721445505882,0.04285714285714286,0.014285714285714285,0.02857142857142857,0.0,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.0,0.5285714285714286,0.34285714285714286
8,女,31-40岁,搞笑|游戏,44,6,搞笑娱乐型用户,-0.5964091031820316,2.2033898757131603,0.022727272727272728,0.0,0.022727272727272728,0.45454545454545453,0.4318181818181818,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.0,0.0
9,女,40岁以上,美食|运动,74,1,运动健康型用户,2.72782870254156,-0.5808796742242456,0.04054054054054054,0.0,0.0,0.0,0.02702702702702703,0.013513513513513514,0.0,0.3783783783783784,0.5,0.04054054054054054
10,男,18-24岁,宠物|生活,78,2,宠物治愈型用户,-0.5009608696904227,-1.0924545042156977,0.0,0.02564102564102564,0.41025641025641024,0.02564102564102564,0.05128205128205128,0.4230769230769231,0.0,0.01282051282051282,0.038461538461538464,0.01282051282051282
