user_id,gender,age_group,interest_categories,persona
1,女,31-40岁,宠物|动漫,动漫二次元型
2,男,25-30岁,科技|学习|宠物|搞笑,进步青年型
3,男,18岁以下,宠物|生活,动漫二次元型
4,女,18岁以下,美食|生活|运动|科技,生活家型
5,女,31-40岁,学习|搞笑,进步青年型
6,女,40岁以上,科技|宠物|搞笑,进步青年型
7,女,40岁以上,音乐|运动,运动乐活型
8,女,31-40岁,搞笑|游戏,宅文化型
9,女,40岁以上,美食|运动,生活家型
10,男,18-24岁,宠物|生活,动漫二次元型
11,女,31-40岁,学习|科技|搞笑|宠物,进步青年型
12,女,31-40岁,生活|美食|科技,生活家型
13,女,18岁以下,运动|游戏|音乐,运动乐活型
14,男,18-24岁,美食|生活,生活家型
15,男,40岁以上,动漫|学习,动漫二次元型
16,男,18岁以下,科技|搞笑|宠物,进步青年型
17,男,31-40岁,生活|美食|运动,生活家型
18,男,25-30岁,宠物|动漫|学习,动漫二次元型
19,女,18岁以下,搞笑|游戏|音乐,宅文化型
20,女,40岁以上,科技|学习|搞笑|宠物,进步青年型
21,男,18-24岁,宠物|动漫,动漫二次元型
22,男,40岁以上,学习|搞笑|科技,进步青年型
23,男,40岁以上,美食|生活,生活家型
24,女,31-40岁,音乐|游戏|美食,运动乐活型
25,男,18岁以下,学习|科技,进步青年型
26,女,18-24岁,科技|搞笑|学习|宠物,进步青年型
27,男,25-30岁,搞笑|游戏,宅文化型
28,男,18-24岁,游戏|动漫|音乐|搞笑,宅文化型
29,男,31-40岁,科技|学习,进步青年型
30,男,25-30岁,游戏|搞笑|动漫,宅文化型
31,女,31-40岁,音乐|运动,运动乐活型
32,男,40岁以上,宠物|动漫|学习,动漫二次元型
33,女,25-30岁,美食|生活,生活家型
34,女,31-40岁,搞笑|动漫|音乐,宅文化型
35,男,31-40岁,游戏|搞笑,宅文化型
36,女,25-30岁,搞笑|音乐,宅文化型
37,男,40岁以上,音乐|运动|游戏,运动乐活型
38,女,25-30岁,学习|宠物|搞笑,进步青年型
39,女,31-40岁,动漫|宠物|生活|学习,动漫二次元型
40,男,18岁以下,搞笑|游戏|音乐|动漫,宅文化型
41,女,18-24岁,宠物|动漫|学习|生活,动漫二次元型
42,女,25-30岁,动漫|宠物|生活|学习,动漫二次元型
43,女,40岁以上,学习|科技|宠物,进步青年型
44,女,31-40岁,科技|学习|搞笑,进步青年型
45,女,31-40岁,科技|搞笑,进步青年型
46,男,40岁以上,动漫|生活,动漫二次元型
47,女,31-40岁,游戏|搞笑|动漫|音乐,宅文化型
48,男,40岁以上,美食|生活|运动|科技,生活家型
49,男,40岁以上,搞笑|游戏,宅文化型
50,男,18岁以下,动漫|宠物,动漫二次元型
51,女,40岁以上,美食|生活,生活家型
52,女,18-24岁,科技|宠物,进步青年型
53,男,40岁以上,宠物|动漫,动漫二次元型
54,男,18-24岁,运动|音乐,运动乐活型
55,男,18岁以下,学习|科技|搞笑|宠物,进步青年型
56,女,25-30岁,学习|科技|搞笑|宠物,进步青年型
57,男,25-30岁,搞笑|游戏,宅文化型
58,女,40岁以上,科技|学习|搞笑|宠物,进步青年型
59,男,40岁以上,学习|宠物|搞笑|科技,进步青年型
60,女,31-40岁,运动|音乐|美食|游戏,运动乐活型
61,男,25-30岁,游戏|搞笑|音乐|动漫,宅文化型
62,女,40岁以上,科技|学习|搞笑|宠物,进步青年型
63,女,31-40岁,动漫|宠物|生活|学习,动漫二次元型
64,男,18岁以下,生活|科技,生活家型
65,男,18-24岁,运动|游戏|美食,运动乐活型
66,女,25-30岁,美食|生活,生活家型
67,男,18岁以下,动漫|宠物|生活,动漫二次元型
68,女,18岁以下,游戏|音乐,宅文化型
69,男,31-40岁,动漫|宠物,动漫二次元型
70,女,25-30岁,动漫|生活|宠物,动漫二次元型
71,女,25-30岁,科技|宠物|学习,进步青年型
72,女,40岁以上,动漫|学习|生活|宠物,动漫二次元型
73,男,18岁以下,音乐|美食|运动|游戏,运动乐活型
74,男,31-40岁,科技|宠物|学习,进步青年型
75,女,31-40岁,游戏|搞笑|动漫|音乐,宅文化型
76,女,40岁以上,音乐|美食|游戏|运动,运动乐活型
77,男,18-24岁,搞笑|游戏|音乐,宅文化型
78,女,18岁以下,学习|搞笑|科技|宠物,进步青年型
79,男,18-24岁,学习|宠物,进步青年型
80,女,31-40岁,音乐|运动|美食,运动乐活型
81,男,31-40岁,动漫|宠物|生活|学习,动漫二次元型
82,女,25-30岁,学习|科技|宠物|搞笑,进步青年型
83,女,31-40岁,运动|音乐|游戏|美食,运动乐活型
84,女,18岁以下,科技|学习|宠物,进步青年型
85,女,18岁以下,搞笑|游戏|动漫,宅文化型
86,女,40岁以上,学习|宠物|搞笑,进步青年型
87,男,18岁以下,科技|搞笑,进步青年型
88,女,18岁以下,运动|音乐|美食,运动乐活型
89,女,18-24岁,动漫|宠物|学习|生活,动漫二次元型
90,男,25-30岁,美食|生活|科技|运动,生活家型
91,男,31-40岁,音乐|运动|美食,运动乐活型
92,女,40岁以上,宠物|动漫,动漫二次元型
93,女,18岁以下,生活|科技,生活家型
94,女,18-24岁,学习|搞笑,进步青年型
95,女,25-30岁,游戏|音乐|动漫,宅文化型
96,女,18岁以下,学习|科技|宠物,进步青年型
97,男,31-40岁,宠物|动漫|生活|学习,动漫二次元型
98,女,31-40岁,音乐|美食|游戏|运动,运动乐活型
99,男,40岁以上,宠物|动漫|学习,动漫二次元型
100,男,18-24岁,运动|音乐|美食,运动乐活型
101,女,25-30岁,学习|科技|搞笑|宠物,进步青年型
102,男,31-40岁,动漫|生活|学习,动漫二次元型
103,男,18-24岁,学习|科技|宠物,进步青年型
104,女,40岁以上,科技|学习|宠物,进步青年型
105,男,31-40岁,搞笑|游戏|音乐|动漫,宅文化型
106,女,31-40岁,游戏|搞笑,宅文化型
