video_id,title,category,tags,duration,author_id,publish_time,base_heat
1,动漫视频_1_国漫,动漫,国漫|二次元|日漫,75,4571,2026-04-27,1e-06
2,美食视频_2_烧烤,美食,烧烤|甜品|探店,116,3910,2026-04-09,2e-06
3,运动视频_3_篮球,运动,篮球|足球|健身,98,2927,2026-05-18,1e-06
4,运动视频_4_健身,运动,健身|跑步|篮球,175,3946,2026-05-16,1e-06
5,游戏视频_5_英雄联盟,游戏,英雄联盟|和平精英|游戏解说,80,3625,2026-05-15,9e-06
6,美食视频_6_家常菜,美食,家常菜|甜品|探店,40,1573,2026-03-29,3e-06
7,科技视频_7_科技资讯,科技,科技资讯|机器人|手机,43,1027,2026-02-17,1e-06
8,美食视频_8_家常菜,美食,家常菜|探店|火锅,40,3897,2026-05-07,2e-06
9,学习视频_9_数学,学习,数学|考研|学习方法,79,2401,2026-02-17,0.000333
10,运动视频_10_跑步,运动,跑步|足球|羽毛球,178,558,2026-04-09,1e-06
11,宠物视频_11_猫咪,宠物,猫咪|宠物日常|萌宠,145,4282,2026-04-16,1e-06
12,宠物视频_12_狗狗,宠物,狗狗|猫咪|宠物日常,177,2290,2026-05-16,1e-06
13,游戏视频_13_和平精英,游戏,和平精英|英雄联盟|游戏解说,76,4967,2026-04-17,2.2e-05
14,动漫视频_14_混剪,动漫,混剪|二次元|国漫,169,1498,2026-02-17,1e-06
15,科技视频_15_科技资讯,科技,科技资讯|人工智能|手机,23,4475,2026-03-07,1e-06
16,运动视频_16_足球,运动,足球|篮球|羽毛球,160,635,2026-05-05,1e-06
17,生活视频_17_校园,生活,校园|vlog|日常生活,76,4628,2026-05-01,1e-06
18,音乐视频_18_说唱,音乐,说唱|吉他|流行音乐,107,71,2026-04-08,3e-06
19,游戏视频_19_英雄联盟,游戏,英雄联盟|和平精英|游戏解说,55,74,2026-04-04,2e-06
20,动漫视频_20_混剪,动漫,混剪|二次元|日漫,13,269,2026-05-06,1e-06
21,生活视频_21_校园,生活,校园|旅行|穿搭,127,4961,2026-05-07,1e-06
22,宠物视频_22_狗狗,宠物,狗狗|治愈|猫咪,89,163,2026-05-14,1e-06
23,动漫视频_23_日漫,动漫,日漫|动漫解说|国漫,61,2958,2026-04-23,1e-06
24,宠物视频_24_狗狗,宠物,狗狗|宠物日常|治愈,45,53,2026-04-20,8.2e-05
25,学习视频_25_数学,学习,数学|英语|学习方法,175,1877,2026-05-12,1e-06
26,动漫视频_26_日漫,动漫,日漫|国漫|二次元,93,2629,2026-05-01,8e-06
